EVENT_TYPE,SUB_EVENT_TYPE,EVENTS,FATALITIES
Protests,Peaceful protest,21890,0
Explosions/Remote violence,Air/drone strike,12694,6827
Explosions/Remote violence,Shelling/artillery/missile attack,5581,449
Battles,Armed clash,5180,5378
Violence against civilians,Attack,3530,4915
Strategic developments,Change to group/activity,3381,0
Strategic developments,Disrupted weapons use,2747,20
Strategic developments,Arrests,1960,0
Strategic developments,Other,1793,51
Explosions/Remote violence,Remote explosive/landmine/IED,1780,1547
Violence against civilians,Abduction/forced disappearance,1547,0
Strategic developments,Looting/property destruction,1499,0
Riots,Violent demonstration,772,22687
Protests,Protest with intervention,477,0
Strategic developments,Non-violent transfer of territory,257,0
Protests,Excessive force against protesters,238,4993
Riots,Mob violence,176,9
Explosions/Remote violence,Grenade,171,28
Battles,Government regains territory,119,254
Strategic developments,Headquarters or base established,70,0
Strategic developments,Agreement,42,0
Battles,Non-state actor overtakes territory,24,94
Violence against civilians,Sexual violence,5,1
Explosions/Remote violence,Suicide bomb,4,32
Explosions/Remote violence,Chemical weapon,1,0
