WEEK,EVENTS,FATALITIES
2025-01-04,1143,412
2025-01-11,1041,366
2025-01-18,770,360
2025-01-25,861,377
2025-02-01,738,299
2025-02-08,892,237
2025-02-15,737,283
2025-02-22,583,175
2025-03-01,762,829
2025-03-08,841,1718
2025-03-15,876,407
2025-03-22,1041,208
2025-03-29,568,302
2025-04-05,904,202
2025-04-12,821,231
2025-04-19,824,228
2025-04-26,926,335
2025-05-03,831,185
2025-05-10,729,102
2025-05-17,893,205
2025-05-24,979,153
2025-05-31,595,127
2025-06-07,843,340
2025-06-14,1220,551
2025-06-21,848,550
2025-06-28,630,119
2025-07-05,639,159
2025-07-12,821,835
2025-07-19,710,219
2025-07-26,811,114
2025-08-02,853,125
2025-08-09,754,109
2025-08-16,784,115
2025-08-23,745,141
2025-08-30,529,100
2025-09-06,625,188
2025-09-13,781,120
2025-09-20,760,139
2025-09-27,702,106
2025-10-04,734,82
2025-10-11,591,95
2025-10-18,476,116
2025-10-25,489,84
2025-11-01,565,91
2025-11-08,593,93
2025-11-15,506,98
2025-11-22,542,144
2025-11-29,593,140
2025-12-06,506,90
2025-12-13,739,99
2025-12-20,632,141
2025-12-27,664,105
2026-01-03,1179,27662
2026-01-10,666,273
2026-01-17,746,327
2026-01-24,604,153
2026-01-31,591,125
2026-02-07,568,72
2026-02-14,476,109
2026-02-21,478,115
2026-02-28,2012,835
2026-03-07,2215,816
2026-03-14,1901,533
2026-03-21,2031,391
2026-03-28,2311,415
2026-04-04,2185,625
2026-04-11,1424,314
2026-04-18,868,83
2026-04-25,1029,219
2026-05-02,1150,183
2026-05-09,1115,173
2026-05-16,1137,166
2026-05-23,1069,274
2026-05-30,1143,273
